model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f1,auc_roc,test_loss,ga_mean,ga_std,ga_min,ga_max
blitz,1,0.001,True,0.0,22,128,0.1,128,True,True,0.20540540540540542,0.20540540540540542,0.4578313253012048,0.2835820895522388,0.7398947698729503,0.8069950938224792,0.03,0.18,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,False,1.0,1.0,0.060240963855421686,0.11363636363636363,0.7354651799201652,0.18001173436641693,0.13,0.34,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,False,True,0.16740088105726872,0.16740088105726872,0.4578313253012048,0.24516129032258063,0.7401355877781264,0.7633607387542725,0.03,0.18,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,False,False,1.0,1.0,0.03614457831325301,0.06976744186046512,0.7398801748483943,0.1846245676279068,0.13,0.34,0.0,1.0
blitz,1,0.001,True,0.5,22,128,0.1,128,True,True,0.12394366197183099,0.12394366197183099,0.5301204819277109,0.20091324200913244,0.7211255682937686,0.7348835468292236,0.07,0.25,0.0,1.0
blitz,1,0.001,True,0.5,22,128,0.1,128,True,False,0.14225941422594143,0.14225941422594143,0.40963855421686746,0.21118012422360247,0.7180241255755913,0.3382318317890167,0.17,0.37,0.0,1.0
blitz,1,0.001,True,0.5,22,128,0.1,128,False,True,0.08761904761904762,0.08761904761904762,0.5542168674698795,0.1513157894736842,0.6940517977421496,0.689905047416687,0.1,0.3,0.0,1.0
blitz,1,0.001,True,0.5,22,128,0.1,128,False,False,0.09221902017291066,0.09221902017291066,0.3855421686746988,0.14883720930232558,0.6910525201958653,0.44531914591789246,0.07,0.25,0.0,1.0
blitz,1,0.001,True,1.0,22,128,0.1,128,True,True,0.11242603550295859,0.11242603550295859,0.4578313253012048,0.1805225653206651,0.7000576503469966,0.8255278468132019,0.07,0.25,0.0,1.0
blitz,1,0.001,True,1.0,22,128,0.1,128,True,False,0.11242603550295859,0.11242603550295859,0.4578313253012048,0.1805225653206651,0.7000576503469966,0.45689812302589417,0.07,0.25,0.0,1.0
blitz,1,0.001,True,1.0,22,128,0.1,128,False,True,0.08333333333333333,0.08333333333333333,0.6024096385542169,0.14641288433382135,0.6835360825494589,0.7112905979156494,0.0,0.0,0.0,0.0
blitz,1,0.001,True,1.0,22,128,0.1,128,False,False,0.08333333333333333,0.08333333333333333,0.6024096385542169,0.14641288433382135,0.6835360825494589,0.6812145113945007,0.0,0.0,0.0,0.0
blitz,1,0.001,False,0.0,22,128,0.1,128,True,True,0.20540540540540542,0.20540540540540542,0.4578313253012048,0.2835820895522388,0.7398947698729503,0.8069950938224792,0.03,0.18,0.0,1.0
blitz,1,0.001,False,0.0,22,128,0.1,128,True,False,1.0,1.0,0.060240963855421686,0.11363636363636363,0.7354651799201652,0.18001173436641693,0.0,0.0,0.0,0.0
blitz,1,0.001,False,0.0,22,128,0.1,128,False,True,0.16740088105726872,0.16740088105726872,0.4578313253012048,0.24516129032258063,0.7401355877781264,0.7633607387542725,0.07,0.25,0.0,1.0
blitz,1,0.001,False,0.0,22,128,0.1,128,False,False,1.0,1.0,0.03614457831325301,0.06976744186046512,0.7398801748483943,0.1846245676279068,0.03,0.18,0.0,1.0
blitz,1,0.001,False,0.5,22,128,0.1,128,True,True,0.4027777777777778,0.4027777777777778,0.3493975903614458,0.3741935483870968,0.7373990206738523,1.405321478843689,0.1,0.3,0.0,1.0
blitz,1,0.001,False,0.5,22,128,0.1,128,True,False,0.5272727272727272,0.5272727272727272,0.3493975903614458,0.42028985507246375,0.7308896397218189,0.2026899755001068,0.07,0.25,0.0,1.0
blitz,1,0.001,False,0.5,22,128,0.1,128,False,True,0.4852941176470588,0.4852941176470588,0.39759036144578314,0.43708609271523174,0.7350419242080374,1.5755316019058228,0.1,0.3,0.0,1.0
blitz,1,0.001,False,0.5,22,128,0.1,128,False,False,0.5849056603773585,0.5849056603773585,0.37349397590361444,0.45588235294117646,0.7215634190304525,0.21390306949615479,0.17,0.37,0.0,1.0
blitz,1,0.001,False,1.0,22,128,0.1,128,True,True,0.5333333333333333,0.5333333333333333,0.3855421686746988,0.44755244755244755,0.7319477790021383,1.7795095443725586,0.03,0.18,0.0,1.0
blitz,1,0.001,False,1.0,22,128,0.1,128,True,False,0.5333333333333333,0.5333333333333333,0.3855421686746988,0.44755244755244755,0.7319477790021383,0.2285083532333374,0.03,0.18,0.0,1.0
blitz,1,0.001,False,1.0,22,128,0.1,128,False,True,0.39759036144578314,0.39759036144578314,0.39759036144578314,0.39759036144578314,0.725358125415046,1.8323605060577393,0.13,0.34,0.0,1.0
blitz,1,0.001,False,1.0,22,128,0.1,128,False,False,0.39759036144578314,0.39759036144578314,0.39759036144578314,0.39759036144578314,0.725358125415046,0.25472724437713623,0.1,0.3,0.0,1.0
blitz,2,0.001,True,0.0,22,128,0.1,128,True,True,0.3977272727272727,0.3977272727272727,0.42168674698795183,0.40935672514619886,0.730663416841199,1.8593860864639282,0.17,0.37,0.0,1.0
blitz,2,0.001,True,0.0,22,128,0.1,128,True,False,0.75,0.75,0.25301204819277107,0.3783783783783783,0.7181043982106501,0.2515212297439575,0.0,0.0,0.0,0.0
blitz,2,0.001,True,0.0,22,128,0.1,128,False,True,0.23163841807909605,0.23163841807909605,0.4939759036144578,0.3153846153846154,0.7228185911422796,1.5258920192718506,0.07,0.25,0.0,1.0
blitz,2,0.001,True,0.0,22,128,0.1,128,False,False,0.5263157894736842,0.5263157894736842,0.24096385542168675,0.33057851239669417,0.7224537155283763,0.267834335565567,0.0,0.0,0.0,0.0
blitz,2,0.001,True,0.5,22,128,0.1,128,True,True,0.16806722689075632,0.16806722689075632,0.4819277108433735,0.24922118380062305,0.7140177913349338,1.3741886615753174,0.17,0.37,0.0,1.0
blitz,2,0.001,True,0.5,22,128,0.1,128,True,False,0.1902439024390244,0.1902439024390244,0.46987951807228917,0.27083333333333337,0.722183707574088,0.36934685707092285,0.1,0.3,0.0,1.0
blitz,2,0.001,True,0.5,22,128,0.1,128,False,True,0.09233449477351917,0.09233449477351917,0.6385542168674698,0.1613394216133942,0.7035458612159114,0.9413708448410034,0.17,0.37,0.0,1.0
blitz,2,0.001,True,0.5,22,128,0.1,128,False,False,0.09803921568627451,0.09803921568627451,0.6024096385542169,0.16863406408094436,0.708931425277123,0.7318871021270752,0.07,0.25,0.0,1.0
blitz,2,0.001,True,1.0,22,128,0.1,128,True,True,0.12416107382550336,0.12416107382550336,0.4457831325301205,0.1942257217847769,0.7061364780746244,1.598841905593872,0.07,0.25,0.0,1.0
blitz,2,0.001,True,1.0,22,128,0.1,128,True,False,0.12416107382550336,0.12416107382550336,0.4457831325301205,0.1942257217847769,0.7061364780746244,0.6233602166175842,0.03,0.18,0.0,1.0
blitz,2,0.001,True,1.0,22,128,0.1,128,False,True,0.08607198748043818,0.08607198748043818,0.6626506024096386,0.1523545706371191,0.6975546036356206,1.0903428792953491,0.1,0.3,0.0,1.0
blitz,2,0.001,True,1.0,22,128,0.1,128,False,False,0.08607198748043818,0.08607198748043818,0.6626506024096386,0.1523545706371191,0.6975546036356206,1.0409008264541626,0.03,0.18,0.0,1.0
blitz,2,0.001,False,0.0,22,128,0.1,128,True,True,0.3977272727272727,0.3977272727272727,0.42168674698795183,0.40935672514619886,0.730663416841199,1.8593860864639282,0.17,0.37,0.0,1.0
blitz,2,0.001,False,0.0,22,128,0.1,128,True,False,0.75,0.75,0.25301204819277107,0.3783783783783783,0.7181043982106501,0.2515212297439575,0.0,0.0,0.0,0.0
blitz,2,0.001,False,0.0,22,128,0.1,128,False,True,0.23163841807909605,0.23163841807909605,0.4939759036144578,0.3153846153846154,0.7228185911422796,1.5258920192718506,0.13,0.34,0.0,1.0
blitz,2,0.001,False,0.0,22,128,0.1,128,False,False,0.5263157894736842,0.5263157894736842,0.24096385542168675,0.33057851239669417,0.7224537155283763,0.267834335565567,0.0,0.0,0.0,0.0
blitz,2,0.001,False,0.5,22,128,0.1,128,True,True,0.7,0.7,0.3373493975903614,0.45528455284552843,0.7361365510497473,4.109207630157471,0.17,0.37,0.0,1.0
blitz,2,0.001,False,0.5,22,128,0.1,128,True,False,0.9259259259259259,0.9259259259259259,0.30120481927710846,0.4545454545454546,0.7351659819167645,0.44631269574165344,0.03,0.18,0.0,1.0
blitz,2,0.001,False,0.5,22,128,0.1,128,False,True,0.7,0.7,0.3373493975903614,0.45528455284552843,0.7158713594535623,4.777624130249023,0.1,0.3,0.0,1.0
blitz,2,0.001,False,0.5,22,128,0.1,128,False,False,0.7714285714285715,0.7714285714285715,0.3253012048192771,0.45762711864406785,0.7115658272095043,0.49590417742729187,0.07,0.25,0.0,1.0
blitz,2,0.001,False,1.0,22,128,0.1,128,True,True,0.6086956521739131,0.6086956521739131,0.3373493975903614,0.43410852713178294,0.7134996679631913,5.193877220153809,0.17,0.37,0.0,1.0
blitz,2,0.001,False,1.0,22,128,0.1,128,True,False,0.6086956521739131,0.6086956521739131,0.3373493975903614,0.43410852713178294,0.7134996679631913,0.5292114615440369,0.13,0.34,0.0,1.0
blitz,2,0.001,False,1.0,22,128,0.1,128,False,True,0.7,0.7,0.3373493975903614,0.45528455284552843,0.7199433713047223,5.576909065246582,0.0,0.0,0.0,0.0
blitz,2,0.001,False,1.0,22,128,0.1,128,False,False,0.7,0.7,0.3373493975903614,0.45528455284552843,0.7199433713047223,0.5521495938301086,0.1,0.3,0.0,1.0
blitz,3,0.001,True,0.0,22,128,0.1,128,True,True,0.34615384615384615,0.34615384615384615,0.43373493975903615,0.3850267379679144,0.69680295987098,2.9676897525787354,0.13,0.34,0.0,1.0
blitz,3,0.001,True,0.0,22,128,0.1,128,True,False,0.6666666666666666,0.6666666666666666,0.26506024096385544,0.3793103448275862,0.6841563710930945,0.42914432287216187,0.03,0.18,0.0,1.0
blitz,3,0.001,True,0.0,22,128,0.1,128,False,True,0.3564356435643564,0.3564356435643564,0.43373493975903615,0.391304347826087,0.7000503528347186,3.022620439529419,0.03,0.18,0.0,1.0
blitz,3,0.001,True,0.0,22,128,0.1,128,False,False,0.6842105263157895,0.6842105263157895,0.3132530120481928,0.4297520661157025,0.6924828326023658,0.46799036860466003,0.0,0.0,0.0,0.0
blitz,3,0.001,True,0.5,22,128,0.1,128,True,True,0.15139442231075698,0.15139442231075698,0.4578313253012048,0.22754491017964068,0.709712259090876,2.1869711875915527,0.03,0.18,0.0,1.0
blitz,3,0.001,True,0.5,22,128,0.1,128,True,False,0.17194570135746606,0.17194570135746606,0.4578313253012048,0.25,0.7045237278611722,0.5881608128547668,0.13,0.34,0.0,1.0
